Biome,Structure,View,Gravity,Enemies,Object 1,Object 2,Object 3,Object 4,Object 5,Object 6,Object 7,Object 8,Object 9,Object 10
Biomechanical,"Landscape, Mountains, Tunneling Caves, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, SS, TD",Y,"Sinew Weavers, Nerve Stalkers, Ganglion Mines",sinew cables,bio-ducts,bone struts,muscle valves,nerve tendrils,chitin plating,artery conduits,spore sacs,ribbed pistons,ganglion nodes
Cyber City,"Landscape, Mountains, Tunneling Caves, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, SS, TD",Y,"Patrol Drones, Hunter Bots, Proximity Turrets",neon signs,holo-billboards,antenna spires,server racks,cable bundles,drone perches,ad-pylons,coolant pipes,satellite dishes,broken screens
Ship Graveyard,"Landscape, Mountains, Tunneling Caves, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, SS, TD",Y,"Drifting Sentries, Salvage Wraiths, Reactor Mines",hull wreckage,snapped masts,engine cores,cargo containers,torn bulkheads,dead thrusters,cracked viewports,salvage cranes,rusted girders,debris drifts
Overgrown Ancient Ruins,"Landscape, Mountains, Tunneling Caves, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, SS, TD",Y,"Guardian Spirits, Temple Wraiths, Rune Mines",toppled columns,vine-choked arches,cracked statues,mossy blocks,root tangles,broken urns,fallen lintels,creeper curtains,weathered idols,rubble mounds
Crystal Caves,"Tunneling Caves, Canyons","3rd, 3/4, Iso, TD",Y,"Shard Floaters, Prism Hunters, Geode Mines",crystal spires,geode clusters,quartz shards,mineral veins,prism stalagmites,glinting facets,crystal bridges,gem nodules,refractive columns,shard fans
Frozen Ice Tunnels,"Tunneling Caves, Canyons","3rd, 3/4, Iso, TD",Y,"Frost Wisps, Ice Stalkers, Rime Mines",icicles,ice pillars,frost sheets,frozen falls,snow drifts,ice shards,rime crusts,glacial blocks,frozen bubbles,hoarfrost spikes
Fungal Hive,"Landscape, Mountains, Tunneling Caves, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, SS, TD",Y,"Spore Drifters, Hyphae Hunters, Puffball Mines",giant mushrooms,spore pods,mycelium webs,bracket shelves,puffball sacs,glowing caps,hyphae strands,toadstool clusters,spore vents,fungal towers
Sunken Temple Ruins,"Landscape, Canyons, Tunneling Caves","3rd, 3/4, Iso, SS, TD",Y,"Eel Sentries, Drowned Wraiths, Urn Mines",algae columns,barnacled idols,coral-crusted arches,drowned statues,silt mounds,broken tablets,kelp-draped pillars,sunken altars,urn shards,eel burrows
Sewer Drainage Tunnels,"Tunneling Caves, Canyons","3rd, 3/4, Iso, TD",Y,"Sludge Crawlers, Rat Swarms, Valve Mines",drain pipes,valve wheels,sludge pools,rusted grates,dripping conduits,moss patches,brick arches,overflow spouts,cabling,debris rafts
Magma Tubes,"Tunneling Caves, Canyons","3rd, 3/4, Iso, TD",Y,"Ember Drifters, Magma Hunters, Spatter Mines",lava pools,basalt columns,cooling crusts,ember vents,obsidian shards,magma drips,slag mounds,sulfur crusts,glowing fissures,rock spatter
Server Farm Corridors,"Landscape, Canyons, Tunneling Caves","3rd, 3/4, Iso, SS, TD",Y,"Patrol Bots, Security Hunters, Node Mines",server racks,cooling towers,cable trays,blinking nodes,fan units,coolant pipes,patch panels,floor tiles,power conduits,status lamps
Skeletal Ribcage Tunnels,"Canyons, Arched Planes","3rd, 3/4, Iso, SS, TD",Y,"Bone Drifters, Marrow Stalkers, Skull Mines",rib arches,vertebrae blocks,bone spurs,skull niches,marrow drips,cartilage sheets,tendon strands,tusk shards,spine ridges,bone dust mounds
Sandstone Slot Canyons,"Canyons, Arched Planes","3rd, 3/4, Iso, TD",Y,"Dust Weavers, Scarab Hunters, Fossil Mines",sandstone ledges,wind-carved arches,rock spires,dune drifts,boulder piles,striated walls,cactus clumps,dry brush,fossil beds,sand falls
Wormhole Conduit,"Tunneling Caves, Open Space","3rd, 3/4, Iso",Y,"Flux Drifters, Warp Hunters, Rift Mines",energy rings,plasma arcs,warp streaks,gravity lenses,light filaments,distortion nodes,spectral shards,flux coils,event motes,tunnel striations
Derelict Submarine Corridors,Aquatic Canyons,"3rd, 3/4, Iso",Y,"Patrol Eels, Hull Stalkers, Pressure Mines",bulkhead hatches,rusted pipes,flooded consoles,barnacle crusts,torn cabling,pressure valves,porthole rings,coral growths,debris silt,hull cracks
